driverid,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
2,0,0,1,1,1,0,0,0,0,0,0,1,0,0
3,0,0,1,1,0,0,0,0,0,1,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,1,0,0,0,1,0,0,0,0,0,0,1,0,0
7,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,0,0,0,0,0,0,1,1,0,0,0,0,0,1
11,1,1,0,0,0,0,0,1,1,0,0,0,0,0
